?Specia,GrupaSpecii,Simbol,SortimentPrimar,GrupaSpeciiSortiment,SortimentIndustrial,SortimentSUMAL,SubsortimentSUMAL,PretFasonat_lei_mc
Mesteacan,Foioase,Me,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Mesteacan,Foioase,Me,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Mesteacan,Foioase,Me,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Mojdrean,Foioase,Nj,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Mojdrean,Foioase,Nj,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Mojdrean,Foioase,Nj,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Mojdrean,Foioase,Nj,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Mojdrean,Foioase,Nj,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Mojdrean,Foioase,Nj,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Molid,Rasinoase,Mo,LEMN ROTUND,Mo Br Du La,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,480.0
Molid,Rasinoase,Mo,LEMN ROTUND,Mo Br Du La,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,380.0
Molid,Rasinoase,Mo,LEMN ROTUND,Mo Br Du La,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,280.0
Molid,Rasinoase,Mo,LEMN ROTUND,Mo Br Du La,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,280.0
Molid,Rasinoase,Mo,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Molid,Rasinoase,Mo,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Nuc,Foioase,Nu,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,550.0
Nuc,Foioase,Nu,LEMN ROTUND,Ci Pa Fr Sb Nu,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,500.0
Nuc,Foioase,Nu,LEMN ROTUND,Ci Pa Fr Sb Nu,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Nuc,Foioase,Nu,LEMN ROTUND,Ci Pa Fr Sb Nu,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Nuc,Foioase,Nu,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Nuc,Foioase,Nu,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
